# File: L201.LaborProductivity_GCAMINDIA.csv
# Title:INDIA value written to all states
# Units: NA
# Column types: cnn
# --------
region,year,laborproductivity
BR,2080,0.032607448
BR,2085,0.031853357
BR,2090,0.03283787
BR,2095,0.032386651
BR,2100,0.030988055
CG,2010,0.029067126
CG,2015,0.043355461
CG,2020,0.051942918
CG,2025,0.047964771
CG,2030,0.046776949
CG,2035,0.044781657
CG,2040,0.04468
CG,2045,0.04253
CG,2050,0.04081
CG,2055,0.03993
CG,2060,0.03772
CG,2065,0.03634
CG,2070,0.03447
CG,2075,0.03346
CG,2080,0.03244
CG,2085,0.03189
CG,2090,0.03236
CG,2095,0.03241
CG,2100,0.03049
CH,2010,0.093448851
CH,2015,-0.007154869
CH,2020,0.06850715
CH,2025,0.062812311
CH,2030,0.059225685
CH,2035,0.057253506
CH,2040,0.04468
CH,2045,0.04253
CH,2050,0.04081
CH,2055,0.03993
CH,2060,0.03772
CH,2065,0.036340001
CH,2070,0.034469999
CH,2075,0.03346
CH,2080,0.03244
CH,2085,0.03189
CH,2090,0.032359999
CH,2095,0.03241
CH,2100,0.030490001
DD,2010,0.06086
DD,2015,0.05302
DD,2020,0.05145
DD,2025,0.05007
DD,2030,0.04823
DD,2035,0.04642
DD,2040,0.04468
DD,2045,0.04253
DD,2050,0.04081
DD,2055,0.03993
DD,2060,0.03772
DD,2065,0.03634
DD,2070,0.03447
DD,2075,0.03346
DD,2080,0.03244
DD,2085,0.03189
DD,2090,0.03236
DD,2095,0.03241
DD,2100,0.03049
DL,2010,0.025586488
DL,2015,0.067927645
DL,2020,0.058517895
DL,2025,0.051160613
DL,2030,0.047716862
DL,2035,0.04661328
DL,2040,0.04468
DL,2045,0.042529999
DL,2050,0.040810001
DL,2055,0.03993
DL,2060,0.03772
DL,2065,0.03634
DL,2070,0.03447
DL,2075,0.03346
DL,2080,0.032440001
DL,2085,0.031889999
DL,2090,0.032360001
DL,2095,0.032409999
DL,2100,0.030490001
DN,2010,0.06086
DN,2015,0.05302
DN,2020,0.05145
DN,2025,0.05007
DN,2030,0.04823
DN,2035,0.04642
DN,2040,0.04468
DN,2045,0.04253
DN,2050,0.04081
DN,2055,0.03993
DN,2060,0.03772
DN,2065,0.03634
DN,2070,0.03447
DN,2075,0.03346
DN,2080,0.03244
DN,2085,0.03189
DN,2090,0.03236
DN,2095,0.03241
DN,2100,0.03049
GA,2010,0.191013826
GA,2015,-0.067120126
GA,2020,0.066255759
GA,2025,0.056134801
GA,2030,0.053712801
GA,2035,0.052150135
GA,2040,0.04468
GA,2045,0.04253
GA,2050,0.04081
GA,2055,0.03993
GA,2060,0.03772
GA,2065,0.03634
GA,2070,0.03447
GA,2075,0.03346
GA,2080,0.03244
GA,2085,0.03189
GA,2090,0.03236
GA,2095,0.03241
GA,2100,0.030489999
GJ,2010,0.056281414
GJ,2015,0.064589196
GJ,2020,0.080666033
GJ,2025,0.047681786
GJ,2030,0.046406903
GJ,2035,0.044683068
GJ,2040,0.04468
GJ,2045,0.04253
GJ,2050,0.04081
GJ,2055,0.03993
GJ,2060,0.03772
GJ,2065,0.03634
GJ,2070,0.03447
GJ,2075,0.03346
GJ,2080,0.03244
GJ,2085,0.03189
GJ,2090,0.03236
GJ,2095,0.03241
GJ,2100,0.03049
HP,2010,0.044312054
HP,2015,0.044621937
HP,2020,0.041668194
HP,2025,0.052136199
HP,2030,0.050745602
HP,2035,0.050081467
HP,2040,0.04468
HP,2045,0.04253
HP,2050,0.04081
HP,2055,0.03993
HP,2060,0.03772
HP,2065,0.03634
HP,2070,0.03447
HP,2075,0.03346
HP,2080,0.03244
HP,2085,0.03189
HP,2090,0.03236
HP,2095,0.03241
HP,2100,0.03049
HR,2010,0.066877838
HR,2015,0.056434991
HR,2020,0.075010059
HR,2025,0.050932316
HR,2030,0.049117202
HR,2035,0.048063572
HR,2040,0.04468
HR,2045,0.04253
HR,2050,0.04081
HR,2055,0.03993
