# File: L201.LaborProductivity_GCAMINDIA.csv
# Title:INDIA value written to all states
# Units: NA
# Column types: cnn
# --------
region,year,laborproductivity
GA,2030,0.066448496
GA,2035,0.071350866
GA,2040,0.065836243
GA,2045,0.068090723
GA,2050,0.068153153
GA,2055,0.064412122
GA,2060,0.063850714
GA,2065,0.057742266
GA,2070,0.054895045
GA,2075,0.056097738
GA,2080,0.060025079
GA,2085,0.056803992
GA,2090,0.055641754
GA,2095,0.055045913
GA,2100,0.05237774
GJ,2010,0.056281414
GJ,2015,0.059994515
GJ,2020,0.087823657
GJ,2025,0.081830326
GJ,2030,0.081562242
GJ,2035,0.078235626
GJ,2040,0.073851714
GJ,2045,0.068727602
GJ,2050,0.06305017
GJ,2055,0.065414039
GJ,2060,0.062334022
GJ,2065,0.065649893
GJ,2070,0.063537414
GJ,2075,0.067122862
GJ,2080,0.064685441
GJ,2085,0.067197644
GJ,2090,0.062954435
GJ,2095,0.060973291
GJ,2100,0.05860437
HP,2010,0.044312054
HP,2015,0.028327282
HP,2020,0.017241669
HP,2025,0.015886251
HP,2030,0.018434919
HP,2035,0.017803848
HP,2040,0.019151343
HP,2045,0.018491784
HP,2050,0.015984004
HP,2055,0.019924964
HP,2060,0.017312396
HP,2065,0.019560385
HP,2070,0.015249123
HP,2075,0.015095064
HP,2080,0.01781297
HP,2085,0.013926423
HP,2090,0.012281053
HP,2095,0.011443687
HP,2100,0.008885783
HR,2010,0.066877838
HR,2015,0.062427728
HR,2020,0.084614247
HR,2025,0.081929668
HR,2030,0.083075518
HR,2035,0.080550099
HR,2040,0.082320515
HR,2045,0.082075616
HR,2050,0.079982911
HR,2055,0.074433095
HR,2060,0.072483014
HR,2065,0.075776628
HR,2070,0.072268548
HR,2075,0.073269139
HR,2080,0.077433722
HR,2085,0.074731794
HR,2090,0.074523597
HR,2095,0.075297075
HR,2100,0.074363586
JH,2010,0.669324666
JH,2015,0.010191132
JH,2020,-0.018085935
JH,2025,-0.018871172
JH,2030,-0.024656284
JH,2035,-0.02464383
JH,2040,-0.027007966
JH,2045,-0.031000812
JH,2050,-0.036452925
JH,2055,-0.035500072
JH,2060,-0.040454431
JH,2065,-0.040528632
JH,2070,-0.046477515
JH,2075,-0.048218815
JH,2080,-0.046974216
JH,2085,-0.051614856
JH,2090,-0.053853596
JH,2095,-0.055033777
JH,2100,-0.05751682
JK,2010,0.023693938
JK,2015,0.027720287
JK,2020,0.05007308
JK,2025,0.05241409
JK,2030,0.057282344
JK,2035,0.057221368
JK,2040,0.059060493
JK,2045,0.058852664
JK,2050,0.056760794
JK,2055,0.051210272
JK,2060,0.049105815
JK,2065,0.052052891
JK,2070,0.048270178
JK,2075,0.048817148
JK,2080,0.052374048
JK,2085,0.04914281
JK,2090,0.048267076
JK,2095,0.048267445
JK,2100,0.046522795
KA,2010,0.001527729
KA,2015,0.00440842
KA,2020,0.002182926
KA,2025,-0.000812668
KA,2030,4.97E-05
KA,2035,-0.003062747
